aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,totalPages,totalFlights,nb_of_pages_already_retrieved,completion,response,timestamp,message
,,,,,,AGP,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=AGP&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,4.0,312.0,4.0,100.0,<Response [200]>,2025-11-03T12:57:21.904117,
,,,,,,AMS,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=AMS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,133.0,13234.0,133.0,100.0,<Response [200]>,2025-11-04T12:06:54.120387,
,,,,,,ARN,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=ARN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,13.0,1295.0,13.0,100.0,<Response [200]>,2025-11-03T12:42:04.621574,
,,,,,,ATH,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=ATH&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,4.0,383.0,4.0,100.0,<Response [200]>,2025-11-03T12:48:38.184526,
,,,,,,BCN,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=BCN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,9.0,873.0,9.0,100.0,<Response [200]>,2025-11-03T12:44:09.017089,
,,,,,,BER,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=BER&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,4.0,393.0,4.0,100.0,<Response [200]>,2025-11-03T12:47:25.506651,
,,,,,,BGO,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=BGO&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,7.0,628.0,7.0,100.0,<Response [200]>,2025-11-03T12:44:52.106086,
,,,,,,CDG,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=CDG&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,129.0,12822.0,129.0,100.0,<Response [200]>,2025-11-04T12:06:54.225959,
,,,,,,CPH,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=CPH&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,14.0,1349.0,14.0,100.0,<Response [200]>,2025-11-03T12:40:46.890436,
,,,,,,DUB,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=DUB&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,5.0,487.0,5.0,100.0,<Response [200]>,2025-11-03T12:45:06.446562,
,,,,,,FCO,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=FCO&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,23.0,2213.0,23.0,100.0,<Response [200]>,2025-11-03T12:39:31.451844,
,,,,,,FRA,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=FRA&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,6.0,547.0,6.0,100.0,<Response [200]>,2025-11-03T12:49:13.413601,
,,,,,,HEL,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=HEL&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,6.0,589.0,6.0,100.0,<Response [200]>,2025-11-03T12:50:20.788259,
,,,,,,LHR,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=LHR&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,12.0,1187.0,12.0,100.0,<Response [200]>,2025-11-03T12:40:05.873526,
,,,,,,LIN,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=LIN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,13.0,1226.0,13.0,100.0,<Response [200]>,2025-11-04T12:06:54.592013,
,,,,,,LIS,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=LIS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,6.0,568.0,6.0,100.0,<Response [200]>,2025-11-03T12:47:57.015909,
,,,,,,LYS,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=LYS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,8.0,711.0,8.0,100.0,<Response [200]>,2025-11-03T12:44:32.213017,
,,,,,,MAD,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=MAD&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,13.0,1228.0,13.0,100.0,<Response [200]>,2025-11-03T12:41:25.246194,
,,,,,,MAN,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=MAN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,5.0,409.0,5.0,100.0,<Response [200]>,2025-11-03T12:47:39.735140,
,,,,,,MRS,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=MRS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,6.0,510.0,6.0,100.0,<Response [200]>,2025-11-03T12:48:56.223684,
,,,,,,MUC,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=MUC&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,5.0,470.0,5.0,100.0,<Response [200]>,2025-11-03T12:48:11.752932,
,,,,,,NCE,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=NCE&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,9.0,870.0,9.0,100.0,<Response [200]>,2025-11-03T12:43:43.335041,
,,,,,,OPO,,,,,,,,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,destination=OPO&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z,4.0,352.0,4.0,100.0,<Response [200]>,2025-11-03T12:47:13.352901,
