,request,page.pageNumber_x,page.fullCount,page.totalPages
0,afklm_api_data_collection_arrivalCity=AAL&departureCity=AMS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,602,7
1,afklm_api_data_collection_arrivalCity=AAL&departureCity=CPH&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,789,8
2,afklm_api_data_collection_arrivalCity=AAR&departureCity=CPH&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,443,5
3,afklm_api_data_collection_arrivalCity=ABZ&departureCity=AMS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,763,8
4,afklm_api_data_collection_arrivalCity=ABZ&departureCity=BGO&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,131,2
5,afklm_api_data_collection_arrivalCity=ACE&departureCity=AMS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,108,2
6,afklm_api_data_collection_arrivalCity=AES&departureCity=AMS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,306,4
7,afklm_api_data_collection_arrivalCity=AES&departureCity=BGO&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,448,5
8,afklm_api_data_collection_arrivalCity=AES&departureCity=OSL&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,376,4
9,afklm_api_data_collection_arrivalCity=AES&departureCity=TRD&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,165,2
10,afklm_api_data_collection_arrivalCity=AGP&departureCity=AMS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1591,16
11,afklm_api_data_collection_arrivalCity=AMS&departureCity=AAL&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,600,6
12,afklm_api_data_collection_arrivalCity=AMS&departureCity=ABZ&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,761,8
13,afklm_api_data_collection_arrivalCity=AMS&departureCity=ACE&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,109,2
14,afklm_api_data_collection_arrivalCity=AMS&departureCity=AES&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,305,4
15,afklm_api_data_collection_arrivalCity=AMS&departureCity=AGP&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1633,17
16,afklm_api_data_collection_arrivalCity=AMS&departureCity=ALC&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,915,10
17,afklm_api_data_collection_arrivalCity=AMS&departureCity=AMS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1737,18
18,afklm_api_data_collection_arrivalCity=AMS&departureCity=AOK&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,108,2
19,afklm_api_data_collection_arrivalCity=AMS&departureCity=ATH&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,917,10
20,afklm_api_data_collection_arrivalCity=AMS&departureCity=BCN&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,2341,24
21,afklm_api_data_collection_arrivalCity=AMS&departureCity=BEG&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,499,5
22,afklm_api_data_collection_arrivalCity=AMS&departureCity=BER&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1246,13
23,afklm_api_data_collection_arrivalCity=AMS&departureCity=BFS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,410,5
24,afklm_api_data_collection_arrivalCity=AMS&departureCity=BGO&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,619,7
25,afklm_api_data_collection_arrivalCity=AMS&departureCity=BHX&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,949,10
26,afklm_api_data_collection_arrivalCity=AMS&departureCity=BIO&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,589,6
27,afklm_api_data_collection_arrivalCity=AMS&departureCity=BLL&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,833,9
28,afklm_api_data_collection_arrivalCity=AMS&departureCity=BLQ&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,553,6
29,afklm_api_data_collection_arrivalCity=AMS&departureCity=BOD&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,508,6
30,afklm_api_data_collection_arrivalCity=AMS&departureCity=BRE&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,586,6
31,afklm_api_data_collection_arrivalCity=AMS&departureCity=BRI&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,189,2
32,afklm_api_data_collection_arrivalCity=AMS&departureCity=BRS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,981,10
